channel,url,product_title,raw_weight_string,weight_kg
www.pistacchioverde.com,https://www.pistacchioverde.com/product/100-pistacchio-verde-di-bronte-d-o-p-sgusciato/,"100% Pistacchio Verde di Bronte D.O.P. Sgusciato
6,50€ - 55,00€
Fascia di prezzo: da 6,50€ a 55,00€
 + IVA",,
www.pistacchioverde.com,https://www.pistacchioverde.com/product/crema-di-pistacchio-con-pistacchio-verde-di-bronte-d-o-p/,"Crema di Pistacchio con Pistacchio verde di Bronte D.O.P.
5,50€ - 9,50€
Fascia di prezzo: da 5,50€ a 9,50€
 + IVA",,
www.pistacchioverde.com,https://www.pistacchioverde.com/product/farina-100-pistacchio-verde-di-bronte-d-o-p/,"Farina 100% Pistacchio Verde di Bronte D.O.P.
51,00€ + IVA",,
www.pistacchioverde.com,https://www.pistacchioverde.com/product/granella-100-pistacchio-verde-di-bronte-d-o-p/,"Granella 100% Pistacchio Verde di Bronte D.O.P.
6,00€ - 51,00€
Fascia di prezzo: da 6,00€ a 51,00€
 + IVA",,
www.pistacchioverde.com,https://www.pistacchioverde.com/product/pasta-pura-100-pistacchio-verde-di-bronte-d-o-p/,"Pasta pura 100% Pistacchio Verde di Bronte D.O.P.
58,00€ - 522,00€
Fascia di prezzo: da 58,00€ a 522,00€
 + IVA",,
www.pistacchioverde.com,https://www.pistacchioverde.com/product/pesto-di-pistacchio-con-pistacchio-verde-di-bronte-d-o-p/,"Pesto di Pistacchio con Pistacchio verde di Bronte D.O.P.
5,50€ - 9,50€
Fascia di prezzo: da 5,50€ a 9,50€
 + IVA",,
www.pistasta.it,https://www.pistasta.it/it/prodotti/artigianato-brontese/creme-spalmabili/crema-di-pistacchio-di-bronte-103,Crema di pistacchio artigianale,90gr,0.09
shop.pistacchioevergreen.it,https://shop.pistacchioevergreen.it/prodotti/frutta-secca/pistacchio-verde-di-bronte-d-o-p-sgusciato/,Pistacchio Verde di Bronte D.O.P. Sgusciato,250 gr,0.25
shop.pistacchioevergreen.it,https://shop.pistacchioevergreen.it/prodotti/frutta-secca/tritato-100-pistacchio-verde-di-bronte-d-o-p/,Tritato 100% “Pistacchio Verde di Bronte D.O.P.”,,
shop.pistacchioevergreen.it,https://shop.pistacchioevergreen.it/prodotti/frutta-secca/granella-100-pistacchio-verde-di-bronte-d-o-p/,Granella 100% “Pistacchio Verde di Bronte D.O.P.”,,
www.insicilia.com,https://www.insicilia.com/it/supplier/49-evergreen-pistacchio-di-bronte,Vendita online pistacchio di Bronte Siciliano DOP Evergreen,,
www.agricolafernandez.it,https://www.agricolafernandez.it/shop/,vendita diretta pistacchio di bronte dop,"1,5 kg",1.5
www.goccedisicilia.com,https://www.goccedisicilia.com/it/pistacchio/774-pistacchio-di-bronte-dop-500-grammi-sgusciato-al-naturale.html,Pistacchio di Bronte DOP 500 grammi sgusciato al naturale,500 grammi,0.5
www.goccedisicilia.com,https://www.goccedisicilia.com/it/pistacchio/195-pistacchio-di-bronte-dop-1-kg-sgusciato-al-naturale.html,Pistacchio di Bronte DOP 1 Kg sgusciato al naturale,1 kg,1.0
www.terramadre.it,https://www.terramadre.it/it/frutta-secca/pistacchio-verde-di-bronte-dop-in-guscio.html,"""Pistacchio Verde di Bronte D.O.P."" (In guscio)",100 g,0.1
www.terramadre.it,https://www.terramadre.it/it/creme-dolci-spalmabili/crema-di-pistacchi-di-bronte.html,Crema di Pistacchio di Bronte DOP,190 g,0.19
shop.pisti.it,https://shop.pisti.it/products/pistacchio-di-bronte-dop-sgusciato,Pistacchio Verde di Bronte DOP,150 g,0.15
www.italybite.it,https://www.italybite.it/it/crema-di-pistacchi-di-bronte-dop.html,Crema di Pistacchi di Bronte DOP - 200gr,200gr,0.2
www.italybite.it,https://www.italybite.it/it/prodotti-alimentari-italiani/dolci-e-snack/frutta-secca/pistacchi-di-bronte-dop/,PISTACCHI DI BRONTE DOP,250gr,0.25
www.aromasicilia.com,https://www.aromasicilia.com/it/pasta-gelato-pistacchio-bronte-dop.html#/38-confezione-250_gr,Pasta Per Gelato Pistacchio Di Bronte DOP 250gr,250gr,0.25
www.fruttaebacche.it,https://www.fruttaebacche.it/frutta-secca/pistacchio-verde-di-bronte-dop-480.html,Pistacchio Verde di Bronte D.O.P.,500g,0.5
www.cortilia.it,https://www.cortilia.it/prodotti/crema-di-pistacchio-verde-di-bronte-dop_049PROD1118,Crema di pistacchio verde di Bronte DOP,190 g,0.19
ilpistacchio.shop,https://ilpistacchio.shop/it/creme/92-crema-di-pistacchio-di-bronte-8050488786349.html,crema di pistacchio di bronte,90 g,0.09
brezzo.it,https://brezzo.it/prodotto/crema-pistacchio-di-bronte-d-o-p/,Crema Pistacchio di Bronte D.O.P.,,
www.cristaldi.it,https://www.cristaldi.it/creme-confetture-e-miele/2411-crema-di-pistacchio-bronte-dopanfora-evergreen-190g.html,Crema Di Pistacchio Bronte Dop Anfora Evergreen 190g,190g,0.19
www.cristaldi.it,https://www.cristaldi.it/specialita-/2597-pistacchio-bronte-dop-tritato-evergreen-100g.html,Pistacchio Bronte Dop Tritato Evergreen 100g,100g,0.1
www.lacascina1899.it,https://www.lacascina1899.it/wp-content/uploads/2025/10/CREMA-PISTACCHIO.jpg,Crema spalmabile al Pistacchio di Bronte DOP 160gr,160gr,0.16
